title,wordsInTitle,url,imdbRating,ratingCount,duration,year,type,nrOfWins,Nominations,nrOfPhotos,nrOfNewsArticles,nrOfUserReviews,nrOfGenre,Action,Adult,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,FilmNoir,GameShow,History,Horror,Music,Musical,Mystery,News,RealityTV,Romance,SciFi,Short,Sport,TalkShow,Thriller,War,Western,genre
robin of sherwood (tv series 1984–1986),robin of sherwood tv series,http://www.imdb.com/title/tt0086791/,8.4,2511,3600,1986.0,video.tv,2,9,75,26,43,3,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Action
super password (tv series 1984–1989),super password tv series,http://www.imdb.com/title/tt0086811/,7.8,82,1800,1989.0,video.tv,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Family
transformers (tv series 1984–1987),transformers tv series,http://www.imdb.com/title/tt0086817/,8.0,12827,1800,1987.0,video.tv,0,0,132,135,53,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Action
v - die außerirdischen besucher kommen (tv series 1984–1985),v die au erirdischen besucher kommen tv series,http://www.imdb.com/title/tt0086822/,7.2,5039,3600,1985.0,video.tv,1,1,30,0,30,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Action
wer ist hier der boß? (tv series 1984–1992),wer ist hier der bo tv series,http://www.imdb.com/title/tt0086827/,6.5,4783,1800,1992.0,video.tv,16,30,87,6,27,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Comedy
the adventures of andré and wally b. (1984),the adventures of andr and wally b,http://www.imdb.com/title/tt0086855/,5.4,2777,120,1984.0,video.movie,1,0,4,2,9,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Animation
buckaroo banzai - die 8. dimension (1984),buckaroo banzai die dimension,http://www.imdb.com/title/tt0086856/,6.4,15535,6180,1984.0,video.movie,0,0,35,61,208,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Comedy
theater der liebe (1984),theater der liebe,http://www.imdb.com/title/tt0086889/,7.1,278,7500,1984.0,video.movie,0,0,3,0,3,3,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Comedy
beverly hills cop - ich lös' den fall auf jeden fall (1984),beverly hills cop ich l s den fall auf jeden fall,http://www.imdb.com/title/tt0086960/,7.3,99009,6300,1984.0,video.movie,3,4,45,1058,158,3,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Comedy
ceiling zero (1936),ceiling zero,http://www.imdb.com/title/tt0026191/,7.0,442,5700,1936.0,video.movie,1,0,3,0,5,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Adventure
blame it on the night (1984),blame it on the night,http://www.imdb.com/title/tt0086974/,5.0,122,5100,1984.0,video.movie,0,0,3,0,2,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Comedy
der tod kommt zweimal (1984),der tod kommt zweimal,http://www.imdb.com/title/tt0086984/,6.7,16136,6840,1984.0,video.movie,2,1,28,105,161,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Crime
die bounty (1984),die bounty,http://www.imdb.com/title/tt0086993/,7.0,14881,6480,1984.0,video.movie,0,0,34,44,86,3,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Action
c.h.u.d. - panik in manhattan (1984),c h u d panik in manhattan,http://www.imdb.com/title/tt0087015/,5.4,6343,5280,1984.0,video.movie,1,1,13,20,81,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Horror
auf dem highway ist wieder die hölle los (1984),auf dem highway ist wieder die h lle los,http://www.imdb.com/title/tt0087032/,4.7,9935,6480,1984.0,video.movie,1,8,3,15,53,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Comedy
carmen (1984),carmen,http://www.imdb.com/title/tt0087034/,7.5,933,9120,1984.0,video.movie,10,10,25,44,17,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Drama
